datetime,open,high,low,close,volume,float
2020-02-05,3.068,3.068,3.068,3.068,0.0,
2020-02-06,3.013,3.013,3.013,3.013,0.0,
2020-02-07,3.046,3.046,3.046,3.046,0.0,
2020-02-11,3.075,3.075,3.072,3.072,0.0,
2020-02-12,3.071,3.071,3.027,3.027,0.0,
2020-02-13,3.027,3.09,3.027,3.09,0.0,
2020-02-14,3.088,3.088,2.975,2.975,0.0,
2020-02-17,2.974,2.974,2.823,2.823,0.0,
2020-02-18,2.822,2.835,2.822,2.835,0.0,
2020-02-19,2.835,2.85,2.835,2.85,0.0,
2020-02-20,2.85,2.85,2.839,2.839,0.0,
2020-02-21,2.838,2.877,2.838,2.877,0.0,
2020-02-24,2.876,2.956,2.876,2.956,0.0,
2020-02-25,2.955,2.955,2.88,2.88,0.0,
2020-02-26,2.879,2.879,2.864,2.864,0.0,
2020-02-27,2.864,2.897,2.864,2.897,0.0,
2020-02-28,2.895,2.895,2.856,2.856,0.0,
2020-03-02,2.855,2.9,2.806,2.806,0.0,
2020-03-03,2.806,2.806,2.754,2.754,0.0,
2020-03-04,2.753,2.753,2.556,2.556,0.0,
2020-03-05,2.555,2.555,2.463,2.463,0.0,
2020-03-06,2.462,2.462,2.34,2.34,0.0,
2020-03-09,2.34,2.34,2.235,2.235,0.0,
2020-03-10,2.234,2.338,2.234,2.338,0.0,
2020-03-11,2.338,2.338,2.302,2.302,0.0,
2020-03-12,2.301,2.414,2.301,2.414,0.0,
2020-03-13,2.413,2.439,2.413,2.439,0.0,
2020-03-16,2.439,2.439,2.424,2.424,0.0,
2020-03-17,2.473,2.473,2.473,2.473,0.0,
2020-03-18,2.473,2.596,2.473,2.596,0.0,
2020-03-19,2.596,2.845,2.596,2.845,0.0,
2020-03-20,2.844,2.88,2.844,2.88,0.0,
2020-03-23,2.88,3.17,2.88,3.17,0.0,
2020-03-24,3.17,3.17,3.158,3.158,0.0,
2020-03-25,3.157,3.157,2.969,2.969,0.0,
2020-03-26,2.968,3.299,2.968,3.299,0.0,
2020-03-27,3.297,3.454,3.297,3.454,0.0,
2020-03-30,3.454,3.54,3.454,3.54,0.0,
2020-03-31,3.54,3.54,3.517,3.517,0.0,
2020-04-01,3.517,3.622,3.517,3.622,0.0,
2020-04-02,3.622,3.622,3.622,3.622,0.0,
2020-04-03,3.621,3.621,3.526,3.526,0.0,
2020-04-06,3.526,3.526,3.437,3.437,0.0,
2020-04-07,3.436,3.436,3.174,3.174,0.0,
2020-04-08,3.173,3.173,3.142,3.142,0.0,
2020-04-09,3.142,3.155,3.142,3.155,0.0,
2020-04-10,3.154,3.224,3.154,3.224,0.0,
2020-04-13,3.224,3.224,3.219,3.219,0.0,
2020-04-14,3.219,3.244,3.219,3.244,0.0,
2020-04-15,3.243,3.306,3.243,3.306,0.0,
2020-04-16,3.305,3.305,3.278,3.278,0.0,
2020-04-17,3.277,3.277,3.246,3.246,0.0,
2020-04-20,3.246,3.246,3.229,3.229,0.0,
2020-04-21,3.229,3.247,3.229,3.247,0.0,
2020-04-22,3.246,3.246,3.246,3.246,0.0,
2020-04-23,3.245,3.245,3.183,3.183,0.0,
2020-04-24,3.182,3.197,3.182,3.197,0.0,
2020-04-27,3.197,3.197,3.096,3.096,0.0,
2020-04-28,3.065,3.065,3.065,3.065,0.0,
2020-04-29,3.063,3.063,3.049,3.05,0.0,
2020-04-30,3.049,3.049,3.049,3.049,0.0,
2020-05-01,3.049,3.049,3.049,3.049,0.0,
2020-05-04,3.048,3.048,3.042,3.042,0.0,
2020-05-05,3.042,3.042,3.024,3.024,0.0,
2020-05-06,3.023,3.11,3.023,3.11,0.0,
2020-05-07,3.11,3.158,3.11,3.158,0.0,
2020-05-08,3.157,3.157,3.063,3.063,0.0,
2020-05-11,3.063,3.063,2.944,2.944,0.0,
2020-05-12,2.946,2.946,2.946,2.946,0.0,
2020-05-13,2.946,2.946,2.918,2.918,0.0,
2020-05-14,2.918,3.0,2.918,3.0,0.0,
2020-05-15,2.999,3.01,2.999,3.01,0.0,
2020-05-18,3.01,3.01,2.999,2.999,0.0,
2020-05-19,2.999,2.999,2.921,2.921,0.0,
2020-05-20,2.921,2.951,2.921,2.951,0.0,
2020-05-21,2.95,2.95,2.919,2.919,0.0,
2020-05-22,2.918,3.026,2.918,3.026,0.0,
2020-05-25,3.026,3.058,3.026,3.058,0.0,
2020-05-26,3.057,3.057,3.053,3.053,0.0,
2020-05-27,3.052,3.083,3.052,3.083,0.0,
2020-05-28,3.083,3.158,3.083,3.158,0.0,
2020-05-29,3.157,3.157,3.146,3.146,0.0,
2020-06-01,3.146,3.146,3.083,3.083,0.0,
2020-06-02,3.082,3.082,3.073,3.073,0.0,
2020-06-03,3.072,3.101,3.048,3.101,0.0,
2020-06-04,3.101,3.101,3.091,3.091,0.0,
2020-06-05,3.09,3.096,3.09,3.096,0.0,
2020-06-08,3.096,3.121,3.096,3.121,0.0,
2020-06-09,3.12,3.12,3.113,3.113,0.0,
2020-06-10,3.113,3.113,3.08,3.08,0.0,
